variable,1st Downs,1st downs by penalty,3rd down %,3rd down efficiency,4th down %,4th down efficiency,Average Interception Yards,Average Kickoff Return Yards,Average Punt Return Yards,Comp-Att,FG: Good-Attempts,Fumbles-Lost,INT: Total,Interceptions,Kickoffs: Total,Net Average Punt Yards,Net Passing Yards,Net Passing Yards Per Game,Passing 1st downs,Passing Touchdowns,Possession Time Seconds,Punt: Total,Punt: Total Yards,Rushing 1st downs,Rushing Attempts,Rushing Touchdowns,Rushing Yards,Rushing Yards Per Game,Sacks-Yards Lost,Total Offensive Plays,Total Points,Total Points Per Game,Total Touchdowns,Total Yards,Total-Yards,Touchback Percentage,Turnover Ratio,Yards Per Game,Yards Per Pass Attempt,Yards Per Rush Attempt
California,244,35,37.50,66-176,37.50,6-16,8.1,20.1,11.1,204-365,11-17,30:53,8-65,9,22-442,36.6,2561,197.0,105,19,45,14-156,71-2793,104,476,16,1710,131.5,46--274,887,276,23.0,35,4271,62-528,0,11-4,328.5,7.0,3.6
Colorado,257,21,41.34,74-179,60.00,12-20,3.6,21.8,5.7,257-411,17-22,11-3,11-40,11,22-480,39.6,2858,238.2,127,18,00:00,10-57,59-2619,109,436,14,1804,150.3,21--131,868,282,23.5,33,4662,85-726,0,0,388.5,7.0,4.1
Oregon,320,26,41.81,74-177,52.00,13-25,14.7,26.3,14.3,298-446,9-14,21:57,20-293,6,29-762,38.5,3615,258.2,170,35,20,18-258,62-2720,124,510,26,2448,174.9,25--175,981,495,35.4,67,6063,85-862,0,12-5,433.1,8.1,4.8
Oregon State,266,15,42.33,69-163,54.17,13-24,6.9,21.7,5.1,260-420,4-9,6-2,8-55,4,32-693,37.9,3061,255.1,140,30,00:00,13-66,59-2511,111,410,21,1880,156.7,25--177,855,374,31.2,52,4941,78-701,0,0,411.8,7.3,4.6
Stanford,237,24,39.16,65-166,30.77,4-13,1.9,24.1,7.2,276-444,19-25,7-5,8-15,8,32-770,37.4,3149,262.4,143,18,00:00,13-93,56-2221,70,346,8,1266,105.5,29--142,819,260,21.7,29,4415,75-585,0,0,367.9,7.1,3.7
UCLA,269,21,41.62,77-185,44.83,13-29,15.2,21.9,22.5,260-426,8-14,17-10,5-76,12,19-416,38.8,3066,255.5,137,22,00:00,8-180,50-2100,111,490,18,1802,150.2,37--316,953,320,26.7,42,4868,81-663,0,0,405.7,7.2,3.7
USC,301,26,45.83,77-168,60.00,6-10,9.0,21.1,5.6,365-514,14-17,26:36,9-81,15,40-844,38.9,4365,335.8,183,35,21,20-112,52-2141,92,391,18,1537,118.2,28--192,933,422,32.5,54,5902,90-877,0,22-11,454.0,8.5,3.9
Utah,301,29,46.02,81-176,42.31,11-26,19.5,17.6,9.6,233-321,11-15,31:26,14-273,4,10-176,36.1,3187,227.6,125,20,53,26-249,45-1800,147,591,34,2819,201.4,26--154,938,452,32.3,60,6006,103-862,0,13-9,429.0,9.9,4.8
Washington,264,16,35.67,61-171,71.88,23-32,10.7,22.8,10.7,263-411,19-21,34:06,13-139,8,17-388,42.5,3164,243.4,139,24,10,25-268,50-2231,109,461,24,1922,147.8,22--153,894,416,32.0,51,5086,79-639,0,13-6,391.2,7.7,4.2
Washington State,335,23,42.55,60-141,59.09,13-22,12.6,21.5,16.2,505-710,20-21,16:36,10-126,16,40-858,40.5,5683,437.2,258,50,45,6-97,30-1352,54,210,12,885,68.1,20--153,940,489,37.6,62,6568,85-794,0,12-9,505.2,8.0,4.2
Alabama,318,24,52.29,80-153,68.42,13-19,14.4,21.2,24.1,287-406,12-18,25:13,17-245,6,30-637,35.6,4449,342.2,168,49,25,22-531,33-1317,126,436,27,2191,168.5,12--81,854,614,47.2,83,6640,95-855,0,9-4,510.8,11.0,5.0
Arkansas,219,28,33.13,55-166,40.00,8-20,10.0,18.5,11.5,202-407,14-19,12-6,6-60,15,35-649,37.5,2315,192.9,111,14,00:00,14-161,59-2320,80,376,14,1766,147.2,19--128,802,257,21.4,31,4081,61-492,0,0,340.1,5.7,4.7
Auburn,278,20,40.53,77-190,46.67,7-15,23.8,20.5,12.8,229-397,18-25,22:25,10-238,6,22-451,38.5,2697,207.5,123,20,20,24-308,64-2786,135,550,31,2588,199.1,18--136,965,432,33.2,54,5285,92-718,0,25-11,406.5,6.8,4.7
Florida,297,33,41.14,65-158,61.54,16-26,10.0,23.0,4.5,317-467,17-19,31:51,16-160,10,8-184,41.9,3910,300.8,176,33,40,15-68,42-1847,88,398,21,1687,129.8,25--178,890,432,33.2,55,5597,67-618,0,10-8,430.5,8.4,4.2
Georgia,295,24,40.96,77-188,60.00,6-10,12.8,19.1,11.3,255-415,27-33,32:23,8-102,6,14-268,42.1,3122,223.0,143,26,82,25-282,61-2857,128,525,21,2591,185.1,15--96,955,431,30.8,50,5713,76-685,0,14-7,408.1,7.5,4.9
Kentucky,252,21,38.89,63-162,51.85,14-27,11.9,20.8,7.5,128-257,9-14,35:46,8-95,8,21-437,44.6,1478,113.7,66,9,65,19-143,49-2358,165,573,36,3624,278.8,17--93,847,353,29.4,47,5102,75-661,0,24-12,392.5,5.8,6.3
LSU,390,22,51.48,87-169,62.50,5-8,5.1,20.8,12.3,395-518,21-26,32:58,17-87,7,14-291,38.1,5561,397.2,226,56,49,19-234,40-1701,142,481,31,2337,166.9,30--195,1029,684,48.9,89,7898,82-818,0,12-5,564.1,10.7,4.9
Mississippi State,280,23,38.93,58-149,38.89,7-18,16.3,16.5,4.4,186-315,9-12,28:26,10-163,10,26-430,38.2,2333,179.5,112,19,20,11-48,53-2256,145,529,27,2868,220.6,31--193,875,361,27.8,48,5201,72-578,0,21-13,400.1,7.4,5.4
Missouri,243,24,36.46,66-181,53.85,7-13,33.3,17.9,11.2,226-376,16-23,12-6,8-266,8,9-161,39.0,2671,222.6,109,17,00:00,20-223,68-2940,110,476,14,1820,151.7,27--170,879,304,27.6,37,4491,83-808,0,0,374.3,7.1,3.8
Ole Miss,271,23,36.81,67-182,53.13,17-32,4.4,22.4,6.4,186-332,11-19,17-9,10-44,6,18-404,37.2,2328,194.0,108,11,00:00,15-91,58-2524,140,559,29,3015,251.3,21--127,912,319,26.6,41,5343,59-585,0,0,445.3,7.0,5.4
South Carolina,232,19,31.72,59-186,48.15,13-27,8.5,20.2,13.6,268-466,18-22,12-7,12-102,7,21-425,42.0,2667,222.3,128,12,00:00,11-146,69-3244,85,396,18,1796,149.7,25--166,887,269,22.4,31,4463,79-656,0,0,371.9,5.7,4.5
