team_no,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,total_penalties_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,total_penalties,total_yards_penalized,total_defensive_sacks,yards_lost_from_sacks,total_punts_kicked,total_punt_yards,total_team_penalties,abbr
75,Eastern Michigan,285,26,39.65,48,12.5,16.9,12,12,39.9,3681,283.2,168,27,91,418,21,1590,122.3,906,379,29.2,49,5271,59-531,405.5,7.9,3.8,59,531,23,134,50,2190,59,EMU
76,Kent State,283,32,43.88,66.67,3.1,22.6,8.5,2,40.9,2846,218.9,116,24,135,550,17,2427,186.7,946,380,31.7,42,5273,81-781,405.6,8,4.4,81,781,41,206,61,2614,81,KENT
77,Miami (OH),216,20,33.17,33.33,19.9,21.5,13.6,10,37.2,2495,178.2,100,11,96,533,22,1833,130.9,901,338,24.1,37,4328,80-683,309.1,7.4,3.4,80,683,31,183,77,3291,80,M-OH
78,Northern Illinois,221,16,32.02,52.17,25.8,11.8,5.5,11,39.5,2611,217.6,114,14,91,454,15,1693,141.1,848,286,23.8,35,4304,62-539,358.7,7.1,3.7,62,539,24,184,70,2949,62,NIU
79,Ohio,296,22,49.41,55.56,4.6,22.9,5.3,6,37,2866,220.5,126,21,148,526,36,2883,221.8,882,446,34.3,57,5749,70-627,442.2,8.6,5.5,70,627,21,150,50,2043,70,OHIO
80,Toledo,261,19,38.01,58.07,7.7,20.8,7.7,7,38.7,2515,209.6,116,15,126,517,27,2694,224.5,885,327,27.3,42,5209,67-608,434.1,7.4,5.2,67,608,29,173,55,2350,67,TOL
81,Western Michigan,288,23,45.26,57.14,16.9,24.5,2,8,37,3128,240.6,132,21,133,503,35,2666,205.1,934,430,33.1,58,5794,82-759,445.7,7.6,5.3,82,759,18,122,52,2200,82,WMU
82,Air Force,286,7,53.5,76.19,34.3,13.3,1.2,6,37.3,1602,123.2,52,14,227,755,41,3881,298.5,885,441,33.9,58,5483,42-368,421.8,12.7,5.1,42,368,4,22,31,1253,42,AFA
83,Boise State,318,23,47.5,58.82,8.7,21.7,12,11,36.7,3664,261.7,159,31,136,529,27,2342,167.3,1020,486,34.7,63,6006,76-695,429,7.9,4.4,76,695,27,167,56,2200,76,BSU
84,Colorado State,257,21,39.65,52.38,17.5,24.6,6.8,11,42.4,3660,305,157,21,79,395,18,1586,132.2,867,337,28.1,42,5246,80-782,437.2,8.2,4,80,782,27,180,49,2274,80,CSU
85,Fresno State,232,23,37.16,46.15,15,19.6,13.3,11,40,2721,226.8,122,17,87,394,27,1911,159.3,790,360,30,46,4632,74-599,386,7.3,4.9,74,599,23,158,52,2209,74,FRES
86,Hawai'i,367,19,47.06,60.61,23.1,22.3,4.9,17,36.1,5056,337.1,223,42,125,421,21,2009,133.9,1083,508,33.9,68,7065,103-918,471,8,4.8,103,918,27,173,42,1743,103,HAW
